network,name,start_time,end_time,latitude,longitude,elevation,components,location_code
XF,H0170,2002-09-19,2005-12-31,27.4196,85.025101,396.0,BHE BHN BHZ,01
XF,H0180,2002-09-29,2005-12-31,27.451401,85.032799,475.0,BHE BHN BHZ,01
XF,H0190,2002-09-28,2005-12-31,27.471701,85.042198,505.0,BHE BHN BHZ,01
XF,H0200,2002-09-19,2005-12-31,27.499001,85.044998,563.0,BHE BHN BHZ,01
XF,H0210,2002-09-28,2005-12-31,27.5287,85.046997,809.0,BHE BHN BHZ,01
XF,H0220,2002-09-18,2005-12-31,27.5583,85.069702,1883.0,BHE BHN BHZ,01
XF,H0230,2002-09-17,2005-12-31,27.58,85.073303,2316.0,BHE BHN BHZ,01
XF,H0240,2002-09-17,2005-12-31,27.6078,85.107002,2153.0,BHE BHN BHZ,01
XF,H0250,2002-09-12,2005-12-31,27.631201,85.100899,1737.0,BHE BHN BHZ,01
XF,H0260,2002-09-12,2005-12-31,27.6733,85.092796,1854.0,BHE BHN BHZ,01
XF,H0270,2002-09-22,2005-12-31,27.6957,85.090202,1597.0,BHE BHN BHZ,01
